filepath,label,ticker,date
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00000.png,0,Microsoft_stock_data,1986-03-13
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00001.png,1,Microsoft_stock_data,1986-03-14
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00002.png,1,Microsoft_stock_data,1986-03-17
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00003.png,-1,Microsoft_stock_data,1986-03-18
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00004.png,-1,Microsoft_stock_data,1986-03-19
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00005.png,-1,Microsoft_stock_data,1986-03-20
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00006.png,-1,Microsoft_stock_data,1986-03-21
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00007.png,-1,Microsoft_stock_data,1986-03-24
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00008.png,1,Microsoft_stock_data,1986-03-25
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00009.png,1,Microsoft_stock_data,1986-03-26
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00010.png,1,Microsoft_stock_data,1986-03-27
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00011.png,-1,Microsoft_stock_data,1986-03-31
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00012.png,-1,Microsoft_stock_data,1986-04-01
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00013.png,1,Microsoft_stock_data,1986-04-02
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00014.png,1,Microsoft_stock_data,1986-04-03
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00015.png,0,Microsoft_stock_data,1986-04-04
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00016.png,-1,Microsoft_stock_data,1986-04-07
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00017.png,1,Microsoft_stock_data,1986-04-08
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00018.png,1,Microsoft_stock_data,1986-04-09
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00019.png,1,Microsoft_stock_data,1986-04-10
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00020.png,1,Microsoft_stock_data,1986-04-11
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00021.png,1,Microsoft_stock_data,1986-04-14
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00022.png,0,Microsoft_stock_data,1986-04-15
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00023.png,1,Microsoft_stock_data,1986-04-16
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00024.png,1,Microsoft_stock_data,1986-04-17
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00025.png,-1,Microsoft_stock_data,1986-04-18
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00026.png,0,Microsoft_stock_data,1986-04-21
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00027.png,-1,Microsoft_stock_data,1986-04-22
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00028.png,1,Microsoft_stock_data,1986-04-23
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00029.png,1,Microsoft_stock_data,1986-04-24
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00030.png,1,Microsoft_stock_data,1986-04-25
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00031.png,1,Microsoft_stock_data,1986-04-28
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00032.png,-1,Microsoft_stock_data,1986-04-29
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00033.png,-1,Microsoft_stock_data,1986-04-30
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00034.png,-1,Microsoft_stock_data,1986-05-01
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00035.png,0,Microsoft_stock_data,1986-05-02
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00036.png,-1,Microsoft_stock_data,1986-05-05
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00037.png,1,Microsoft_stock_data,1986-05-06
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00038.png,0,Microsoft_stock_data,1986-05-07
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00039.png,1,Microsoft_stock_data,1986-05-08
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00040.png,-1,Microsoft_stock_data,1986-05-09
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00041.png,1,Microsoft_stock_data,1986-05-12
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00042.png,1,Microsoft_stock_data,1986-05-13
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00043.png,-1,Microsoft_stock_data,1986-05-14
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00044.png,0,Microsoft_stock_data,1986-05-15
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00045.png,1,Microsoft_stock_data,1986-05-16
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00046.png,-1,Microsoft_stock_data,1986-05-19
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00047.png,-1,Microsoft_stock_data,1986-05-20
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00048.png,-1,Microsoft_stock_data,1986-05-21
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00049.png,0,Microsoft_stock_data,1986-05-22
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00050.png,0,Microsoft_stock_data,1986-05-23
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00051.png,1,Microsoft_stock_data,1986-05-27
/content/drive/My Drive/Stockprice prediction/images/Microsoft_stock_data/Microsoft_stock_data_00052.png,1,Microsoft_stock_data,1986-05-28
